date,speed
"May 8, 2021",3:17/km
"Apr 22, 2022",3:17/km
"Mar 27, 2021",3:19/km
"Jul 21, 2017",3:22/km
"Sep 30, 2017",3:23/km
"Jan 16, 2021",3:23/km
"Aug 3, 2021",3:24/km
"Jul 1, 2022",3:28/km
"Apr 19, 2021",3:29/km
"Apr 6, 2022",3:29/km
"Oct 26, 2017",3:30/km
"Nov 2, 2022",3:00/km
"Nov 2, 2022",3:01/km
"Nov 2, 2022",3:01/km
"Jan 17, 2021",3:04/km
"Mar 21, 2020",3:05/km
"May 30, 2020",3:06/km
"May 2, 2021",3:10/km
"Feb 1, 2020",3:10/km
"Nov 2, 2022",3:11/km
"Feb 1, 2020",3:12/km
"Sep 30, 2017",3:13/km
"May 30, 2020",3:14/km
"Dec 8, 2020",3:15/km
"May 8, 2021",3:15/km
"May 8, 2021",3:17/km
"Apr 22, 2022",3:17/km
"Mar 27, 2021",3:19/km
"Jul 21, 2017",3:22/km
"Sep 30, 2017",3:23/km
"Jan 16, 2021",3:23/km
"Aug 3, 2021",3:24/km
"Jul 1, 2022",3:28/km
"Apr 19, 2021",3:29/km
"Apr 6, 2022",3:29/km
"Oct 26, 2017",3:30/km
"Nov 2, 2022",3:00/km
"Nov 2, 2022",3:01/km
"Nov 2, 2022",3:01/km
"Jan 17, 2021",3:04/km
"Mar 21, 2020",3:05/km
"May 30, 2020",3:06/km
"May 2, 2021",3:10/km
"Feb 1, 2020",3:10/km
"Nov 2, 2022",3:11/km
"Feb 1, 2020",3:12/km
"Sep 30, 2017",3:13/km
"May 30, 2020",3:14/km
"Dec 8, 2020",3:15/km
"May 8, 2021",3:15/km
"May 8, 2021",3:17/km
"Apr 22, 2022",3:17/km
"Mar 27, 2021",3:19/km
"Jul 21, 2017",3:22/km
"Sep 30, 2017",3:23/km
"Jan 16, 2021",3:23/km
"Aug 3, 2021",3:24/km
"Jul 1, 2022",3:28/km
"Apr 19, 2021",3:29/km
"Apr 6, 2022",3:29/km
"Oct 26, 2017",3:30/km
"Nov 2, 2022",3:00/km
"Nov 2, 2022",3:01/km
"Nov 2, 2022",3:01/km
"Jan 17, 2021",3:04/km
"Mar 21, 2020",3:05/km
"May 30, 2020",3:06/km
"May 2, 2021",3:10/km
"Feb 1, 2020",3:10/km
"Nov 2, 2022",3:11/km
"Feb 1, 2020",3:12/km
"Sep 30, 2017",3:13/km
"May 30, 2020",3:14/km
"Dec 8, 2020",3:15/km
"May 8, 2021",3:15/km
"May 8, 2021",3:17/km
"Apr 22, 2022",3:17/km
"Mar 27, 2021",3:19/km
"Jul 21, 2017",3:22/km
"Sep 30, 2017",3:23/km
"Jan 16, 2021",3:23/km
"Aug 3, 2021",3:24/km
"Jul 1, 2022",3:28/km
"Apr 19, 2021",3:29/km
"Apr 6, 2022",3:29/km
"Oct 26, 2017",3:30/km
"Nov 2, 2022",3:00/km
"Nov 2, 2022",3:01/km
"Nov 2, 2022",3:01/km
"Jan 17, 2021",3:04/km
"Mar 21, 2020",3:05/km
"May 30, 2020",3:06/km
"May 2, 2021",3:10/km
"Feb 1, 2020",3:10/km
"Nov 2, 2022",3:11/km
"Feb 1, 2020",3:12/km
"Sep 30, 2017",3:13/km
"May 30, 2020",3:14/km
"Dec 8, 2020",3:15/km
"May 8, 2021",3:15/km
"May 8, 2021",3:17/km
"Apr 22, 2022",3:17/km
"Mar 27, 2021",3:19/km
"Jul 21, 2017",3:22/km
"Sep 30, 2017",3:23/km
"Jan 16, 2021",3:23/km
"Aug 3, 2021",3:24/km
"Jul 1, 2022",3:28/km
"Apr 19, 2021",3:29/km
"Apr 6, 2022",3:29/km
"Oct 26, 2017",3:30/km
"Nov 2, 2022",3:00/km
"Nov 2, 2022",3:01/km
"Nov 2, 2022",3:01/km
"Jan 17, 2021",3:04/km
"Mar 21, 2020",3:05/km
"May 30, 2020",3:06/km
"May 2, 2021",3:10/km
"Feb 1, 2020",3:10/km
"Nov 2, 2022",3:11/km
"Feb 1, 2020",3:12/km
"Sep 30, 2017",3:13/km
"May 30, 2020",3:14/km
"Dec 8, 2020",3:15/km
"May 8, 2021",3:15/km
"May 8, 2021",3:17/km
"Apr 22, 2022",3:17/km
"Mar 27, 2021",3:19/km
"Jul 21, 2017",3:22/km
"Sep 30, 2017",3:23/km
"Jan 16, 2021",3:23/km
"Aug 3, 2021",3:24/km
"Jul 1, 2022",3:28/km
"Apr 19, 2021",3:29/km
"Apr 6, 2022",3:29/km
"Oct 26, 2017",3:30/km
"Nov 2, 2022",3:00/km
"Nov 2, 2022",3:01/km
"Nov 2, 2022",3:01/km
"Jan 17, 2021",3:04/km
"Mar 21, 2020",3:05/km
"May 30, 2020",3:06/km
"May 2, 2021",3:10/km
"Feb 1, 2020",3:10/km
"Nov 2, 2022",3:11/km
"Feb 1, 2020",3:12/km
"Sep 30, 2017",3:13/km
"May 30, 2020",3:14/km
"Dec 8, 2020",3:15/km
"May 8, 2021",3:15/km
"May 8, 2021",3:17/km
"Apr 22, 2022",3:17/km
"Mar 27, 2021",3:19/km
"Jul 21, 2017",3:22/km
"Sep 30, 2017",3:23/km
"Jan 16, 2021",3:23/km
"Aug 3, 2021",3:24/km
"Jul 1, 2022",3:28/km
"Apr 19, 2021",3:29/km
"Apr 6, 2022",3:29/km
"Oct 26, 2017",3:30/km
"Nov 2, 2022",3:00/km
"Nov 2, 2022",3:01/km
"Nov 2, 2022",3:01/km
"Jan 17, 2021",3:04/km
"Mar 21, 2020",3:05/km
"May 30, 2020",3:06/km
"May 2, 2021",3:10/km
"Feb 1, 2020",3:10/km
"Nov 2, 2022",3:11/km
"Feb 1, 2020",3:12/km
"Sep 30, 2017",3:13/km
"May 30, 2020",3:14/km
"Dec 8, 2020",3:15/km
"May 8, 2021",3:15/km
"May 8, 2021",3:17/km
"Apr 22, 2022",3:17/km
"Mar 27, 2021",3:19/km
"Jul 21, 2017",3:22/km
"Sep 30, 2017",3:23/km
"Jan 16, 2021",3:23/km
"Aug 3, 2021",3:24/km
"Jul 1, 2022",3:28/km
"Apr 19, 2021",3:29/km
"Apr 6, 2022",3:29/km
"Oct 26, 2017",3:30/km
"Nov 2, 2022",3:00/km
"Nov 2, 2022",3:01/km
"Nov 2, 2022",3:01/km
"Jan 17, 2021",3:04/km
"Mar 21, 2020",3:05/km
"May 30, 2020",3:06/km
"May 2, 2021",3:10/km
"Feb 1, 2020",3:10/km
"Nov 2, 2022",3:11/km
"Feb 1, 2020",3:12/km
"Sep 30, 2017",3:13/km
"May 30, 2020",3:14/km
"Dec 8, 2020",3:15/km
"May 8, 2021",3:15/km
"May 8, 2021",3:17/km
"Apr 22, 2022",3:17/km
"Mar 27, 2021",3:19/km
"Jul 21, 2017",3:22/km
"Sep 30, 2017",3:23/km
"Jan 16, 2021",3:23/km
"Aug 3, 2021",3:24/km
"Jul 1, 2022",3:28/km
"Apr 19, 2021",3:29/km
"Apr 6, 2022",3:29/km
"Oct 26, 2017",3:30/km
"Nov 2, 2022",3:00/km
"Nov 2, 2022",3:01/km
"Nov 2, 2022",3:01/km
"Jan 17, 2021",3:04/km
"Mar 21, 2020",3:05/km
"May 30, 2020",3:06/km
"May 2, 2021",3:10/km
"Feb 1, 2020",3:10/km
"Nov 2, 2022",3:11/km
"Feb 1, 2020",3:12/km
"Sep 30, 2017",3:13/km
"May 30, 2020",3:14/km
"Dec 8, 2020",3:15/km
"May 8, 2021",3:15/km
"May 8, 2021",3:17/km
"Apr 22, 2022",3:17/km
"Mar 27, 2021",3:19/km
"Jul 21, 2017",3:22/km
"Sep 30, 2017",3:23/km
"Jan 16, 2021",3:23/km
"Aug 3, 2021",3:24/km
"Jul 1, 2022",3:28/km
"Apr 19, 2021",3:29/km
"Apr 6, 2022",3:29/km
"Oct 26, 2017",3:30/km
"Nov 2, 2022",3:00/km
"Nov 2, 2022",3:01/km
"Nov 2, 2022",3:01/km
"Jan 17, 2021",3:04/km
"Mar 21, 2020",3:05/km
"May 30, 2020",3:06/km
"May 2, 2021",3:10/km
"Feb 1, 2020",3:10/km
"Nov 2, 2022",3:11/km
"Feb 1, 2020",3:12/km
"Sep 30, 2017",3:13/km
"May 30, 2020",3:14/km
"Dec 8, 2020",3:15/km
"May 8, 2021",3:15/km
"May 8, 2021",3:17/km
"Apr 22, 2022",3:17/km
"Mar 27, 2021",3:19/km
"Jul 21, 2017",3:22/km
"Sep 30, 2017",3:23/km
"Jan 16, 2021",3:23/km
"Aug 3, 2021",3:24/km
"Jul 1, 2022",3:28/km
"Apr 19, 2021",3:29/km
"Apr 6, 2022",3:29/km
"Oct 26, 2017",3:30/km
"Nov 2, 2022",3:00/km
"Nov 2, 2022",3:01/km
"Nov 2, 2022",3:01/km
"Jan 17, 2021",3:04/km
"Mar 21, 2020",3:05/km
"May 30, 2020",3:06/km
"May 2, 2021",3:10/km
"Feb 1, 2020",3:10/km
"Nov 2, 2022",3:11/km
"Feb 1, 2020",3:12/km
"Sep 30, 2017",3:13/km
"May 30, 2020",3:14/km
"Dec 8, 2020",3:15/km
"May 8, 2021",3:15/km
"May 8, 2021",3:17/km
"Apr 22, 2022",3:17/km
"Mar 27, 2021",3:19/km
"Jul 21, 2017",3:22/km
"Sep 30, 2017",3:23/km
"Jan 16, 2021",3:23/km
"Aug 3, 2021",3:24/km
"Jul 1, 2022",3:28/km
"Apr 19, 2021",3:29/km
"Apr 6, 2022",3:29/km
"Oct 26, 2017",3:30/km
"Nov 2, 2022",3:00/km
"Nov 2, 2022",3:01/km
"Nov 2, 2022",3:01/km
"Jan 17, 2021",3:04/km
"Mar 21, 2020",3:05/km
"May 30, 2020",3:06/km
"May 2, 2021",3:10/km
"Feb 1, 2020",3:10/km
"Nov 2, 2022",3:11/km
"Feb 1, 2020",3:12/km
"Sep 30, 2017",3:13/km
"May 30, 2020",3:14/km
"Dec 8, 2020",3:15/km
"May 8, 2021",3:15/km
"May 8, 2021",3:17/km
"Apr 22, 2022",3:17/km
"Mar 27, 2021",3:19/km
"Jul 21, 2017",3:22/km
"Sep 30, 2017",3:23/km
"Jan 16, 2021",3:23/km
"Aug 3, 2021",3:24/km
"Jul 1, 2022",3:28/km
"Apr 19, 2021",3:29/km
"Apr 6, 2022",3:29/km
"Oct 26, 2017",3:30/km
"Nov 2, 2022",3:00/km
"Nov 2, 2022",3:01/km
"Nov 2, 2022",3:01/km
"Jan 17, 2021",3:04/km
"Mar 21, 2020",3:05/km
"May 30, 2020",3:06/km
"May 2, 2021",3:10/km
"Feb 1, 2020",3:10/km
"Nov 2, 2022",3:11/km
"Feb 1, 2020",3:12/km
"Sep 30, 2017",3:13/km
"May 30, 2020",3:14/km
"Dec 8, 2020",3:15/km
"May 8, 2021",3:15/km
"May 8, 2021",3:17/km
"Apr 22, 2022",3:17/km
"Mar 27, 2021",3:19/km
"Jul 21, 2017",3:22/km
"Sep 30, 2017",3:23/km
"Jan 16, 2021",3:23/km
"Aug 3, 2021",3:24/km
"Jul 1, 2022",3:28/km
"Apr 19, 2021",3:29/km
"Apr 6, 2022",3:29/km
"Oct 26, 2017",3:30/km
