date,speed
"Jul 9, 2016",7:41/km
"May 27, 2018",7:41/km
"Jul 1, 2018",7:41/km
"Sep 9, 2019",7:41/km
"May 18, 2020",7:41/km
"Nov 20, 2021",7:41/km
"Apr 6, 2022",7:41/km
"Apr 20, 2022",7:41/km
"Jun 23, 2018",7:42/km
"Jul 14, 2018",7:42/km
"Jun 16, 2019",7:42/km
"Jul 19, 2021",7:42/km
"Jun 12, 2016",7:43/km
"Jul 14, 2018",7:43/km
"Jul 6, 2019",7:43/km
"May 15, 2020",7:43/km
"Jun 19, 2016",7:44/km
"May 31, 2020",7:44/km
"Jun 17, 2012",7:45/km
"Apr 30, 2014",7:45/km
"Jul 12, 2014",7:45/km
"May 9, 2018",7:45/km
"Jun 12, 2022",7:45/km
"Jul 11, 2015",7:46/km
"Jun 18, 2016",7:46/km
"Jun 6, 2018",7:46/km
"Jul 11, 2015",7:47/km
"May 27, 2012",7:47/km
"Jul 2, 2017",7:47/km
"May 23, 2018",7:47/km
"Jun 17, 2018",7:47/km
"Jun 24, 2018",7:47/km
"Mar 29, 2020",7:47/km
"Sep 27, 2014",7:48/km
"Jun 2, 2016",7:48/km
"Jul 12, 2014",7:49/km
"Sep 15, 2021",7:49/km
"Apr 8, 2015",7:50/km
"May 4, 2016",7:50/km
"Mar 18, 2021",7:50/km
"Oct 2, 2016",7:50/km
"Jul 11, 2015",7:51/km
"May 31, 2016",7:51/km
"Jun 29, 2016",7:51/km
"Jul 13, 2013",7:52/km
"Nov 3, 2019",7:52/km
"Jun 15, 2014",7:53/km
"Jun 14, 2015",7:53/km
"Jun 16, 2016",7:53/km
"Feb 4, 2018",7:53/km
"May 23, 2020",7:53/km
"Apr 17, 2021",7:53/km
"Jul 1, 2012",7:54/km
"May 9, 2018",7:54/km
"Mar 12, 2021",7:54/km
"Aug 4, 2014",7:55/km
"Jun 14, 2015",7:55/km
"Jul 8, 2017",7:55/km
"Jul 13, 2019",7:55/km
"Feb 21, 2022",7:55/km
"Apr 30, 2022",7:55/km
"Apr 1, 2015",7:56/km
"Aug 13, 2017",7:56/km
"Aug 18, 2019",7:56/km
"Jul 19, 2021",7:56/km
"Jun 12, 2022",7:56/km
"Apr 13, 2016",7:56/km
"Jul 14, 2018",7:56/km
"Oct 9, 2021",7:56/km
"Mar 3, 2013",7:57/km
"Apr 19, 2017",7:57/km
"Jun 18, 2017",7:57/km
"Jul 13, 2013",7:58/km
"Jul 27, 2019",7:58/km
"May 29, 2020",7:58/km
"Oct 29, 2021",7:58/km
"May 9, 2015",7:59/km
"May 4, 2016",8:00/km
"Jul 14, 2018",8:00/km
"Jul 3, 2019",8:00/km
"Apr 9, 2022",8:00/km
"Apr 23, 2017",8:01/km
"Jul 14, 2018",8:01/km
"Jun 23, 2019",8:01/km
"Feb 29, 2020",8:01/km
"May 10, 2020",8:01/km
"Jun 12, 2021",8:01/km
"Jul 13, 2013",8:02/km
"Jul 11, 2015",8:02/km
"May 31, 2017",8:02/km
"Jul 13, 2019",8:02/km
"Jul 9, 2022",8:02/km
"Jul 13, 2019",8:03/km
"Aug 4, 2020",8:03/km
"Jun 12, 2022",8:03/km
"Jun 21, 2022",8:03/km
"Jul 11, 2015",8:04/km
"Jul 15, 2016",8:04/km
"Jul 14, 2018",8:04/km
"May 29, 2020",7:58/km
"Oct 29, 2021",7:58/km
"May 9, 2015",7:59/km
"May 4, 2016",8:00/km
"Jul 14, 2018",8:00/km
"Jul 3, 2019",8:00/km
"Apr 9, 2022",8:00/km
"Apr 23, 2017",8:01/km
"Jul 14, 2018",8:01/km
"Jun 23, 2019",8:01/km
"Feb 29, 2020",8:01/km
"May 10, 2020",8:01/km
"Jun 12, 2021",8:01/km
"Jul 13, 2013",8:02/km
"Jul 11, 2015",8:02/km
"May 31, 2017",8:02/km
"Jul 13, 2019",8:02/km
"Jul 9, 2022",8:02/km
"Jul 13, 2019",8:03/km
"Aug 4, 2020",8:03/km
"Jun 12, 2022",8:03/km
"Jun 21, 2022",8:03/km
"Jul 11, 2015",8:04/km
"Jul 15, 2016",8:04/km
"Jul 14, 2018",8:04/km
"May 29, 2020",7:58/km
"Oct 29, 2021",7:58/km
"May 9, 2015",7:59/km
"May 4, 2016",8:00/km
"Jul 14, 2018",8:00/km
"Jul 3, 2019",8:00/km
"Apr 9, 2022",8:00/km
"Apr 23, 2017",8:01/km
"Jul 14, 2018",8:01/km
"Jun 23, 2019",8:01/km
"Feb 29, 2020",8:01/km
"May 10, 2020",8:01/km
"Jun 12, 2021",8:01/km
"Jul 13, 2013",8:02/km
"Jul 11, 2015",8:02/km
"May 31, 2017",8:02/km
"Jul 13, 2019",8:02/km
"Jul 9, 2022",8:02/km
"Jul 13, 2019",8:03/km
"Aug 4, 2020",8:03/km
"Jun 12, 2022",8:03/km
"Jun 21, 2022",8:03/km
"Jul 11, 2015",8:04/km
"Jul 15, 2016",8:04/km
"Jul 14, 2018",8:04/km
"May 29, 2020",7:58/km
"Oct 29, 2021",7:58/km
"May 9, 2015",7:59/km
"May 4, 2016",8:00/km
"Jul 14, 2018",8:00/km
"Jul 3, 2019",8:00/km
"Apr 9, 2022",8:00/km
"Apr 23, 2017",8:01/km
"Jul 14, 2018",8:01/km
"Jun 23, 2019",8:01/km
"Feb 29, 2020",8:01/km
"May 10, 2020",8:01/km
"Jun 12, 2021",8:01/km
"Jul 13, 2013",8:02/km
"Jul 11, 2015",8:02/km
"May 31, 2017",8:02/km
"Jul 13, 2019",8:02/km
"Jul 9, 2022",8:02/km
"Jul 13, 2019",8:03/km
"Aug 4, 2020",8:03/km
"Jun 12, 2022",8:03/km
"Jun 21, 2022",8:03/km
"Jul 11, 2015",8:04/km
"Jul 15, 2016",8:04/km
"Jul 14, 2018",8:04/km
"May 29, 2020",7:58/km
"Oct 29, 2021",7:58/km
"May 9, 2015",7:59/km
"May 4, 2016",8:00/km
"Jul 14, 2018",8:00/km
"Jul 3, 2019",8:00/km
"Apr 9, 2022",8:00/km
"Apr 23, 2017",8:01/km
"Jul 14, 2018",8:01/km
"Jun 23, 2019",8:01/km
"Feb 29, 2020",8:01/km
"May 10, 2020",8:01/km
"Jun 12, 2021",8:01/km
"Jul 13, 2013",8:02/km
"Jul 11, 2015",8:02/km
"May 31, 2017",8:02/km
"Jul 13, 2019",8:02/km
"Jul 9, 2022",8:02/km
"Jul 13, 2019",8:03/km
"Aug 4, 2020",8:03/km
"Jun 12, 2022",8:03/km
"Jun 21, 2022",8:03/km
"Jul 11, 2015",8:04/km
"Jul 15, 2016",8:04/km
"Jul 14, 2018",8:04/km
"May 29, 2020",7:58/km
"Oct 29, 2021",7:58/km
"May 9, 2015",7:59/km
"May 4, 2016",8:00/km
"Jul 14, 2018",8:00/km
"Jul 3, 2019",8:00/km
"Apr 9, 2022",8:00/km
"Apr 23, 2017",8:01/km
"Jul 14, 2018",8:01/km
"Jun 23, 2019",8:01/km
"Feb 29, 2020",8:01/km
"May 10, 2020",8:01/km
"Jun 12, 2021",8:01/km
"Jul 13, 2013",8:02/km
"Jul 11, 2015",8:02/km
"May 31, 2017",8:02/km
"Jul 13, 2019",8:02/km
"Jul 9, 2022",8:02/km
"Jul 13, 2019",8:03/km
"Aug 4, 2020",8:03/km
"Jun 12, 2022",8:03/km
"Jun 21, 2022",8:03/km
"Jul 11, 2015",8:04/km
"Jul 15, 2016",8:04/km
"Jul 14, 2018",8:04/km
"May 29, 2020",7:58/km
"Oct 29, 2021",7:58/km
"May 9, 2015",7:59/km
"May 4, 2016",8:00/km
"Jul 14, 2018",8:00/km
"Jul 3, 2019",8:00/km
"Apr 9, 2022",8:00/km
"Apr 23, 2017",8:01/km
"Jul 14, 2018",8:01/km
"Jun 23, 2019",8:01/km
"Feb 29, 2020",8:01/km
"May 10, 2020",8:01/km
"Jun 12, 2021",8:01/km
"Jul 13, 2013",8:02/km
"Jul 11, 2015",8:02/km
"May 31, 2017",8:02/km
"Jul 13, 2019",8:02/km
"Jul 9, 2022",8:02/km
"Jul 13, 2019",8:03/km
"Aug 4, 2020",8:03/km
"Jun 12, 2022",8:03/km
"Jun 21, 2022",8:03/km
"Jul 11, 2015",8:04/km
"Jul 15, 2016",8:04/km
"Jul 14, 2018",8:04/km
"May 29, 2020",7:58/km
"Oct 29, 2021",7:58/km
"May 9, 2015",7:59/km
"May 4, 2016",8:00/km
"Jul 14, 2018",8:00/km
"Jul 3, 2019",8:00/km
"Apr 9, 2022",8:00/km
"Apr 23, 2017",8:01/km
"Jul 14, 2018",8:01/km
"Jun 23, 2019",8:01/km
"Feb 29, 2020",8:01/km
"May 10, 2020",8:01/km
"Jun 12, 2021",8:01/km
"Jul 13, 2013",8:02/km
"Jul 11, 2015",8:02/km
"May 31, 2017",8:02/km
"Jul 13, 2019",8:02/km
"Jul 9, 2022",8:02/km
"Jul 13, 2019",8:03/km
"Aug 4, 2020",8:03/km
"Jun 12, 2022",8:03/km
"Jun 21, 2022",8:03/km
"Jul 11, 2015",8:04/km
"Jul 15, 2016",8:04/km
"Jul 14, 2018",8:04/km
date,speed
"Jul 14, 2012",5:08/km
"Mar 21, 2020",5:20/km
"Jun 10, 2022",5:30/km
"Jul 8, 2017",5:41/km
"Jul 23, 2021",5:48/km
"May 4, 2021",5:52/km
"Feb 3, 2022",5:52/km
"Jul 10, 2010",5:53/km
"Jul 13, 2019",5:53/km
"Jul 11, 2015",5:57/km
"Jun 19, 2019",5:58/km
"Jul 13, 2019",5:59/km
"Jul 8, 2017",6:00/km
"May 27, 2018",6:01/km
"May 9, 2018",6:01/km
"Sep 20, 2020",6:01/km
"Jul 9, 2016",6:02/km
"Jul 13, 2019",6:03/km
"Aug 9, 2016",6:04/km
"Jun 5, 2019",6:04/km
"Jul 9, 2022",6:04/km
"May 13, 2020",6:05/km
"Jun 11, 2014",6:09/km
"May 23, 2012",6:10/km
"May 9, 2018",6:11/km
"Jul 11, 2015",6:12/km
"Apr 24, 2019",6:12/km
"May 22, 2019",6:12/km
"Jun 15, 2022",6:12/km
"Sep 7, 2022",6:12/km
"May 9, 2018",6:13/km
"Jun 14, 2021",6:15/km
"Jul 14, 2018",6:19/km
"May 27, 2015",6:20/km
"Dec 7, 2020",6:20/km
"May 8, 2021",6:20/km
"Jul 8, 2017",6:22/km
"May 9, 2018",6:22/km
"Jul 8, 2017",6:24/km
"Jul 7, 2018",6:24/km
"Jul 13, 2019",6:24/km
"Jul 13, 2019",6:24/km
"May 26, 2019",6:26/km
"Jun 19, 2019",6:26/km
"Jun 30, 2013",6:27/km
"Jul 8, 2017",6:28/km
"Jul 9, 2022",6:28/km
"Jun 29, 2016",6:30/km
"Jul 16, 2017",6:30/km
"Jul 14, 2018",6:31/km
"Sep 30, 2019",6:33/km
"Jun 16, 2013",6:34/km
"Jun 25, 2017",6:34/km
"Jul 14, 2018",6:35/km
"May 31, 2017",6:35/km
"Nov 6, 2021",6:35/km
"May 31, 2017",6:36/km
"Apr 24, 2019",6:36/km
"Jul 13, 2019",6:36/km
"Jul 8, 2017",6:38/km
"May 27, 2018",6:39/km
"Jul 13, 2019",6:39/km
"Jun 19, 2019",6:40/km
"Feb 19, 2018",6:41/km
"Jul 14, 2018",6:41/km
"Apr 11, 2012",6:42/km
"Jun 20, 2021",6:42/km
"Jul 11, 2015",6:43/km
"May 3, 2017",6:43/km
"Jul 11, 2015",6:44/km
"Jun 26, 2020",6:45/km
"Apr 24, 2019",6:46/km
"Jul 13, 2019",6:46/km
"Jun 28, 2017",6:47/km
"Jun 22, 2014",6:48/km
"May 31, 2015",6:50/km
"Jul 13, 2019",6:50/km
"Jul 9, 2022",6:51/km
"Jul 1, 2018",6:52/km
"May 22, 2019",6:52/km
"Mar 20, 2021",6:52/km
"Jul 9, 2011",6:53/km
"Feb 24, 2015",6:53/km
"Jul 13, 2019",6:53/km
"Jul 8, 2017",6:54/km
"Apr 27, 2019",6:54/km
"Feb 19, 2022",6:55/km
"Jul 11, 2015",6:56/km
"Jun 15, 2017",6:56/km
"Jul 13, 2019",6:56/km
"Mar 21, 2020",6:56/km
"Aug 25, 2019",6:57/km
"Jun 17, 2020",6:57/km
"May 15, 2021",6:57/km
"Jul 9, 2022",6:57/km
"Jun 17, 2012",6:58/km
"Jun 1, 2018",6:59/km
"Apr 8, 2015",7:00/km
"Apr 22, 2015",7:00/km
"Jul 9, 2022",7:00/km
"May 28, 2017",7:01/km
"Jun 15, 2019",7:01/km
"Jun 12, 2016",7:02/km
"Jun 17, 2018",7:02/km
"May 4, 2019",7:02/km
"Jun 1, 2022",7:02/km
"Jul 11, 2015",7:03/km
"Jul 11, 2015",7:04/km
"Jun 20, 2017",7:05/km
"Apr 21, 2020",7:06/km
"Jun 14, 2015",7:07/km
"Jun 29, 2022",7:07/km
"May 13, 2015",7:08/km
"Jun 29, 2018",7:08/km
"Apr 10, 2019",7:08/km
"Jul 3, 2019",7:08/km
"Jul 3, 2019",7:08/km
"Jul 8, 2016",7:09/km
"Apr 10, 2019",7:09/km
"Jul 11, 2009",7:10/km
"Apr 27, 2019",7:10/km
"Apr 4, 2021",7:10/km
"Apr 2, 2014",7:11/km
"Apr 11, 2018",7:11/km
"Nov 21, 2020",7:11/km
"Nov 27, 2020",7:11/km
"Sep 12, 2015",7:12/km
"May 11, 2017",7:12/km
"May 23, 2018",7:12/km
"Jul 14, 2018",7:12/km
"Jun 20, 2021",7:12/km
"May 24, 2015",7:13/km
"Apr 6, 2016",7:13/km
"Jul 8, 2017",7:13/km
"Jul 13, 2019",7:13/km
"Jun 12, 2022",7:13/km
"May 1, 2013",7:14/km
"Mar 12, 2016",7:14/km
"Jul 13, 2019",7:14/km
"Jun 12, 2022",7:14/km
"Jun 9, 2019",7:15/km
"Jun 16, 2018",7:16/km
"Apr 10, 2022",7:16/km
"Apr 15, 2022",7:16/km
"Apr 20, 2022",7:16/km
"Jul 8, 2017",7:17/km
"Jul 14, 2018",7:17/km
"Jul 8, 2017",7:18/km
"May 9, 2018",7:18/km
"Jun 16, 2018",7:18/km
"Jul 3, 2019",7:18/km
"Jul 13, 2013",7:18/km
"May 16, 2015",7:19/km
"Apr 6, 2016",7:19/km
"Jul 3, 2019",7:19/km
"Jul 11, 2015",7:20/km
"Aug 23, 2020",7:20/km
"Jul 14, 2012",7:21/km
"May 22, 2019",7:21/km
"Jul 13, 2019",7:21/km
"Jul 13, 2019",7:21/km
"Apr 1, 2015",7:22/km
"Jul 18, 2015",7:22/km
"May 31, 2017",7:22/km
"May 31, 2017",7:22/km
"Jul 3, 2019",7:22/km
"Apr 6, 2022",7:22/km
"Jul 9, 2022",7:22/km
"Jun 12, 2016",7:23/km
"Jul 9, 2016",7:23/km
"May 26, 2019",7:24/km
"Mar 22, 2020",7:24/km
"Jun 18, 2013",7:25/km
"Jul 13, 2019",7:25/km
"Jul 13, 2019",7:25/km
"Aug 10, 2021",7:25/km
"Jul 9, 2022",7:25/km
"Apr 25, 2018",7:26/km
"May 9, 2018",7:26/km
"Jul 14, 2018",7:26/km
"Jun 1, 2022",7:26/km
"Jul 9, 2016",7:27/km
"Nov 8, 2020",7:27/km
"May 22, 2022",7:27/km
"Jul 6, 2013",7:28/km
"May 20, 2017",7:28/km
"Jul 14, 2007",7:29/km
"Jul 9, 2016",7:29/km
"May 22, 2022",7:29/km
"Jul 1, 2012",7:30/km
"Feb 20, 2015",7:30/km
"Jul 9, 2016",7:30/km
"Jul 14, 2018",7:30/km
"Jul 5, 2020",7:30/km
"Oct 4, 2020",7:30/km
"Feb 5, 2022",7:30/km
"Aug 23, 2020",7:31/km
"Jun 6, 2020",7:32/km
"May 18, 2014",7:33/km
"Nov 11, 2017",7:33/km
"Jul 14, 2018",7:33/km
"Jul 14, 2018",7:33/km
"Sep 24, 2022",7:33/km
"Jun 19, 2016",7:34/km
"Jun 6, 2020",7:34/km
"Jun 28, 2022",7:34/km
"Apr 16, 2016",7:35/km
"Jul 9, 2016",7:35/km
"Jul 14, 2018",7:35/km
"Jun 19, 2019",7:35/km
"Jul 13, 2013",7:36/km
"Jul 12, 2017",7:37/km
"Jul 14, 2018",7:37/km
"Jul 14, 2018",7:37/km
"May 10, 2020",7:37/km
"May 22, 2020",7:37/km
"Apr 4, 2021",7:37/km
"Jul 14, 2007",7:38/km
"Jun 13, 2016",7:38/km
"Apr 6, 2022",7:38/km
"Feb 20, 2016",7:39/km
"Jun 22, 2014",7:40/km
"May 29, 2016",7:40/km
"Jul 9, 2016",7:40/km
"Apr 17, 2022",7:40/km
"May 3, 2022",7:40/km
"Jul 9, 2016",7:41/km
"May 27, 2018",7:41/km
"Jul 1, 2018",7:41/km
"Sep 9, 2019",7:41/km
"May 18, 2020",7:41/km
"Nov 20, 2021",7:41/km
"Apr 6, 2022",7:41/km
"Apr 20, 2022",7:41/km
"Jun 23, 2018",7:42/km
"Jul 14, 2018",7:42/km
"Jun 16, 2019",7:42/km
"Jul 19, 2021",7:42/km
"Jun 12, 2016",7:43/km
"Jul 14, 2018",7:43/km
"Jul 6, 2019",7:43/km
"May 15, 2020",7:43/km
"Jun 19, 2016",7:44/km
"May 31, 2020",7:44/km
"Jun 17, 2012",7:45/km
"Apr 30, 2014",7:45/km
"Jul 12, 2014",7:45/km
"May 9, 2018",7:45/km
"Jun 12, 2022",7:45/km
"Jul 11, 2015",7:46/km
"Jun 18, 2016",7:46/km
"Jun 6, 2018",7:46/km
"Jul 11, 2015",7:47/km
"May 27, 2012",7:47/km
"Jul 2, 2017",7:47/km
"May 23, 2018",7:47/km
"Jun 17, 2018",7:47/km
"Jun 24, 2018",7:47/km
"Mar 29, 2020",7:47/km
"Sep 27, 2014",7:48/km
"Jun 2, 2016",7:48/km
"Jul 12, 2014",7:49/km
"Sep 15, 2021",7:49/km
"Apr 8, 2015",7:50/km
"May 4, 2016",7:50/km
"Mar 18, 2021",7:50/km
"Oct 2, 2016",7:50/km
"Jul 11, 2015",7:51/km
"May 31, 2016",7:51/km
"Jun 29, 2016",7:51/km
"Jul 13, 2013",7:52/km
"Nov 3, 2019",7:52/km
"Jun 15, 2014",7:53/km
"Jun 14, 2015",7:53/km
"Jun 16, 2016",7:53/km
"Feb 4, 2018",7:53/km
"May 23, 2020",7:53/km
"Apr 17, 2021",7:53/km
"Jul 1, 2012",7:54/km
"May 9, 2018",7:54/km
"Mar 12, 2021",7:54/km
"Aug 4, 2014",7:55/km
"Jun 14, 2015",7:55/km
"Jul 8, 2017",7:55/km
"Jul 13, 2019",7:55/km
"Feb 21, 2022",7:55/km
"Apr 30, 2022",7:55/km
"Apr 1, 2015",7:56/km
"Aug 13, 2017",7:56/km
"Aug 18, 2019",7:56/km
"Jul 19, 2021",7:56/km
"Jun 12, 2022",7:56/km
"Apr 13, 2016",7:56/km
"Jul 14, 2018",7:56/km
"Oct 9, 2021",7:56/km
"Mar 3, 2013",7:57/km
"Apr 19, 2017",7:57/km
"Jun 18, 2017",7:57/km
"Jul 13, 2013",7:58/km
"Jul 27, 2019",7:58/km
"May 29, 2020",7:58/km
"Oct 29, 2021",7:58/km
"May 9, 2015",7:59/km
"May 4, 2016",8:00/km
"Jul 14, 2018",8:00/km
"Jul 3, 2019",8:00/km
"Apr 9, 2022",8:00/km
"Apr 23, 2017",8:01/km
"Jul 14, 2018",8:01/km
"Jun 23, 2019",8:01/km
"Feb 29, 2020",8:01/km
"May 10, 2020",8:01/km
"Jun 12, 2021",8:01/km
"Jul 13, 2013",8:02/km
"Jul 11, 2015",8:02/km
"May 31, 2017",8:02/km
"Jul 13, 2019",8:02/km
"Jul 9, 2022",8:02/km
"Jul 13, 2019",8:03/km
"Aug 4, 2020",8:03/km
"Jun 12, 2022",8:03/km
"Jun 21, 2022",8:03/km
"Jul 11, 2015",8:04/km
"Jul 15, 2016",8:04/km
"Jul 14, 2018",8:04/km
"Nov 24, 2018",8:04/km
"Nov 6, 2021",8:04/km
"Nov 2, 2014",8:05/km
"Feb 18, 2015",8:05/km
"Jun 28, 2015",8:05/km
"Feb 21, 2022",8:05/km
"Jun 7, 2015",8:06/km
"Jul 21, 2016",8:06/km
"Jun 1, 2022",8:06/km
"Feb 6, 2021",8:07/km
"Nov 17, 2022",8:07/km
"Jun 16, 2013",8:08/km
"Jul 11, 2015",8:08/km
"Nov 8, 2020",8:08/km
"Jul 9, 2022",8:08/km
